Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MÚSCULO,0.94,-0.010000000000000231,0.27999999999999997,-1.2599999999999998,-2.8,0.0,-5.88,0.0,0.8,-5.859999999999999,-1.74,0.0,2.91,-1.4500000000000002,-3.82,-0.4899999999999999,-1.7
 PÁ,0.0,-3.84,-0.24,-0.060000000000000164,-0.9899999999999998,0.0,-6.47,0.0,0.0,0.0,0.0,-2.4299999999999997,-2.1599999999999997,-2.6,-6.66,-3.2099999999999995,-2.38
 ACÉM,-4.72,-2.39,-0.45999999999999996,1.15,-0.9600000000000001,-0.10999999999999988,-7.66,-2.4000000000000004,3.1,1.42,-3.2600000000000002,-0.2100000000000002,0.33999999999999997,-1.31,-3.87,-1.7400000000000002,-1.5099999999999998
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-7.4799999999999995,0.0,0.0,0.0,0.0,0.0,2.4,-4.64,-3.08,0.5799999999999997,-4.8999999999999995
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-9.08,0.0,0.9,-3.6,0.0,2.99,-1.1400000000000001,-2.22,0.0,0.0,-3.62
 COSTELA,0.4500000000000002,3.9,-1.16,-2.03,-2.5999999999999996,1.2000000000000002,-2.19,-1.73,2.7300000000000004,4.1,-3.5100000000000002,-0.10000000000000009,-0.030000000000000027,-1.23,-2.48,1.35,0.33000000000000007
 PICANHA,0.0,5.4799999999999995,5.220000000000001,0.0,0.0,7.879999999999999,0.0,-0.1900000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
 PESCADOS,1.42,1.49,2.53,-0.02999999999999997,0.83,0.6,4.45,0.72,1.2399999999999998,1.71,0.6599999999999999,1.4,-0.14,2.27,-1.1800000000000002,1.0499999999999998,1.4300000000000002
 PEIXE-ANCHOVA,0.0,0.0,0.0,-0.02999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999997
 PEIXE-CORVINA,0.1499999999999999,0.0,0.0,-1.91,0.0,0.0,0.0,0.0,0.8300000000000001,0.0,0.0,0.0,0.0,0.0,3.08,0.27,0.4
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,-2.3
 PEIXE-SARDINHA,0.0,1.49,0.0,3.56,0.0,0.0,0.0,0.0,-0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08
 CAMARÃO,4.050000000000001,1.33,0.0,-4.68,0.0,-0.1399999999999999,-4.01,1.7999999999999998,2.56,-1.6400000000000001,1.2599999999999998,4.49,0.0,0.0,4.66,1.73,0.14000000000000007
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.08
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.12
 PEIXE-MERLUZA,0.0,0.0,1.78,0.6200000000000001,1.92,0.0,0.0,0.0,0.6300000000000001,0.0,0.54,0.0,0.0,0.0,0.0,0.0,1.5200000000000002
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,1.06,0.0,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9099999999999993,1.09,1.6099999999999999
 CARANGUEJO,-0.06,0.0,0.0,0.0,0.0,0.0,-3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.95
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.02999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999997
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4400000000000004,0.0,0.0,3.4400000000000004
 PEIXE-SALMÃO,2.72,0.0,0.0,0.0,4.63,3.4099999999999997,0.0,4.11,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
 PEIXE-TILÁPIA,0.0,1.5999999999999999,2.7699999999999996,3.25,-1.01,0.96,0.0,0.15000000000000002,0.9899999999999998,2.26,2.01,2.1599999999999997,-1.8899999999999997,0.0,0.0,0.27999999999999997,0.81
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-0.4099999999999999,5.4399999999999995,0.0,0.0,0.0,-0.95,0.0,1.9300000000000002,1.97,-2.09,0.0,0.91
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-2.04,26.959999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.639999999999997
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03,0.0,0.0,0.0,0.0,-1.03
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,2.3
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599999999999999,0.0,0.0,0.0,0.0,0.0,0.6599999999999999
 CARNES E PEIXES INDUSTRIALIZADOS,0.74,4.96,2.63,-1.6500000000000001,1.9099999999999997,1.67,-3.6100000000000003,-0.25,2.0700000000000003,-2.3,-0.30999999999999994,-0.09999999999999987,0.73,-1.0099999999999998,-2.25,-0.12,1.06
 PRESUNTO,-1.4100000000000001,1.28,4.54,0.0,1.1400000000000001,-2.5100000000000002,0.0,-0.66,0.30999999999999983,-3.09,-3.579999999999999,-0.11999999999999988,-4.15,-2.76,0.0,0.8699999999999997,0.3
 SALSICHA,0.0,5.02,0.0,-0.11000000000000032,1.7000000000000002,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,-1.0099999999999998,0.0,0.0,2.2199999999999998
 LINGUIÇA,1.4300000000000002,6.01,2.4399999999999995,-2.1199999999999997,2.1100000000000003,4.6,0.5800000000000001,-0.6000000000000001,5.91,-4.64,0.5800000000000001,0.20999999999999996,1.99,-0.6900000000000002,-4.02,-1.94,1.52
 MORTADELA,-1.8800000000000001,0.0,4.78,-1.1,2.3699999999999997,0.0,0.0,-3.14,0.0,4.98,-4.93,0.0,1.04,0.0,0.0,0.0,1.65
 SALAME,0.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
 BACALHAU,5.039999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.78,0.0,4.23
 CARNE-SECA E DE SOL,0.31999999999999984,0.0,0.0,-1.83,0.0,-0.44999999999999996,-5.6,3.37,0.5199999999999998,0.0,0.0,-3.8099999999999996,0.0,0.0,0.6600000000000001,0.66,-1.1900000000000002
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,1.9299999999999993,0.0,0.0,0.0,0.0,-0.51
