Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9499999999999997,0.0,2.9499999999999997
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62,12.62
 CARNES E PEIXES INDUSTRIALIZADOS,1.1099999999999999,1.7199999999999998,-0.36999999999999994,0.85,0.22000000000000003,0.8699999999999999,0.30000000000000004,-2.2800000000000002,1.0500000000000003,-0.45000000000000007,-0.85,-0.5399999999999999,0.6500000000000001,0.39999999999999997
 PRESUNTO,-0.8600000000000001,-1.5699999999999998,0.79,0.0,-5.03,-3.9600000000000004,0.7200000000000002,-1.11,-4.37,-0.83,-0.6500000000000001,-4.29,-0.36999999999999983,-2.55
 SALSICHA ,5.47,3.44,-2.92,-3.29,-0.18000000000000002,4.53,1.9000000000000004,0.0,0.0,-1.64,0.7999999999999998,-0.8999999999999999,4.74,0.9500000000000001
 LINGUIÇA,2.29,1.2699999999999998,0.43000000000000016,-5.39,2.4,2.75,3.0799999999999996,-2.66,1.8400000000000003,0.71,-1.34,0.6,0.33000000000000007,1.3299999999999998
 MORTADELA,-2.87,1.59,-0.5,-1.5499999999999998,-0.20999999999999996,0.0,0.10000000000000003,-1.49,0.0,-1.2799999999999998,0.0,-9.7,-0.7699999999999998,-0.8200000000000002
 SALAME ,0.0,3.0700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0700000000000003
 CARNE-SECA E DE SOL,1.43,0.0,0.0,3.15,0.0,0.0,-1.09,-2.4000000000000004,1.9,0.0,0.0,7.790000000000001,0.0,1.56
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,-1.6900000000000004,0.0,0.0,0.0,0.0,-3.05
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
 AVES E OVOS,-2.4400000000000004,-0.64,3.31,-0.41000000000000014,3.99,-0.26,-0.5700000000000001,-4.46,-2.24,-5.3,-2.13,2.21,0.0,-0.24
 FRANGO INTEIRO,-10.530000000000001,-1.2900000000000003,3.6900000000000004,-3.9099999999999993,2.4699999999999998,-2.42,-1.45,-7.25,-4.380000000000001,-3.460000000000001,-3.98,2.27,-4.779999999999999,-2.73
 FRANGO EM PEDAÇOS,-0.36999999999999966,-1.81,-5.510000000000001,0.49,6.05,0.7699999999999998,-2.09,-2.17,0.6300000000000001,-6.08,-0.08000000000000002,-0.9800000000000003,0.8699999999999999,0.31999999999999995
 OVO DE GALINHA,1.6400000000000001,2.66,16.52,10.24,2.37,2.35,3.34,3.8,2.03,-5.290000000000001,2.0599999999999996,5.75,5.14,3.8000000000000003
 LEITES E DERIVADOS,0.32000000000000006,-0.7200000000000002,0.7500000000000001,1.17,1.1800000000000002,-0.21999999999999997,2.29,0.04000000000000002,1.4500000000000002,2.48,0.0799999999999999,0.99,1.5099999999999998,0.91
 LEITE LONGA VIDA,2.98,0.34999999999999964,2.48,6.54,1.92,-0.1299999999999999,6.449999999999999,1.05,7.1800000000000015,3.3,0.3700000000000001,3.4000000000000004,1.7999999999999998,2.4000000000000004
 LEITE CONDENSADO,0.0,-9.33,0.0,0.0,0.0,0.0,-2.41,-5.54,0.0,0.0,0.0,0.0,-3.4400000000000004,-6.090000000000001
 LEITE EM PÓ,-9.83,-1.7500000000000002,0.0,-2.37,0.88,0.0,1.5099999999999998,-1.19,-3.0,-2.56,0.3600000000000001,-0.97,-3.83,-2.16
 QUEIJO,1.3800000000000001,0.35,1.0699999999999998,-0.58,0.6400000000000001,-1.76,2.59,-0.4900000000000002,-2.22,4.82,0.09000000000000008,-1.5,3.9399999999999995,0.6799999999999998
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,2.36
 IOGURTE E BEBIDAS LÁCTEAS,-0.31000000000000005,-4.77,-7.890000000000001,5.770000000000001,-0.7500000000000002,1.61,-3.8600000000000003,0.5900000000000001,2.92,-2.9899999999999998,-2.19,-5.2700000000000005,1.15,-1.39
 MANTEIGA,0.0,0.0,0.0,5.800000000000001,0.0,0.0,10.719999999999999,4.21,2.7199999999999998,0.0,0.0,3.41,0.0,5.12
 PANIFICADOS,1.1,2.3699999999999997,1.24,-2.0,-0.4,1.65,-1.31,1.21,0.1900000000000004,-0.009999999999999981,1.4100000000000001,2.6,-0.11999999999999988,0.34
 BISCOITO,0.15000000000000002,0.21,-0.3900000000000001,-0.71,-1.51,4.529999999999999,0.06,0.7000000000000001,0.15999999999999992,-2.1100000000000003,1.4299999999999997,-0.07000000000000006,-0.9099999999999999,-0.39
 PÃO FRANCÊS,1.08,1.58,1.78,-2.65,-0.5399999999999999,0.5800000000000001,-2.01,1.27,0.010000000000000231,0.08999999999999997,2.0999999999999996,1.45,0.7599999999999999,0.12999999999999995
 PÃO DOCE,0.47,5.039999999999999,2.6199999999999997,0.0,1.56,0.7900000000000001,1.1,-0.74,4.09,1.8399999999999999,0.0,5.06,0.11000000000000032,2.01
 PÃO DE FORMA,3.31,8.57,8.0,0.0,1.2200000000000002,2.24,0.0,0.0,0.0,1.27,-0.7999999999999998,17.3,-3.08,3.5199999999999996
 BOLO,0.8500000000000001,3.41,-1.0999999999999999,-1.4900000000000002,-0.36,1.48,0.23000000000000004,3.76,-0.3600000000000001,2.62,-4.0,0.3599999999999999,-2.3499999999999996,0.5
 PÃO DE QUEIJO,0.0,0.0,-1.96,0.0,0.0,2.75,0.0,0.0,0.0,0.0,2.1399999999999997,0.0,0.0,-0.37999999999999995
 ÓLEOS E GORDURAS,-7.859999999999999,-10.43,-13.18,-5.01,-6.3100000000000005,-0.76,-8.67,-5.749999999999999,-4.73,-8.24,-7.119999999999999,-13.89,-11.1,-7.87
 ÓLEO DE SOJA,-12.69,-15.26,-16.05,-9.52,-9.68,-3.6999999999999997,-13.33,-8.68,-7.05,-12.190000000000001,-8.64,-20.53,-16.28,-11.79
 AZEITE DE OLIVA,-4.75,0.0,0.0,0.0,-2.9699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-4.17,0.0,-3.6500000000000004
 MARGARINA,-3.9699999999999998,-0.07000000000000006,-4.1,-0.8600000000000001,-1.35,2.9,0.41999999999999993,-1.9599999999999997,-0.86,0.67,-0.62,-2.08,3.5700000000000003,-1.3
 BEBIDAS E INFUSÕES,3.15,1.7899999999999998,0.26999999999999996,-0.43000000000000005,2.5100000000000002,-0.74,0.8500000000000001,-0.17000000000000004,2.56,0.81,-0.07000000000000006,-0.060000000000000026,0.02999999999999997,1.53
 SUCO DE FRUTAS,3.32,2.66,5.18,-0.030000000000000027,2.31,1.53,3.74,-1.0,5.67,4.49,2.8000000000000003,-0.4600000000000001,0.53,2.88
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6600000000000001
 CAFÉ MOÍDO,5.52,4.28,3.1599999999999997,3.7199999999999998,8.23,-3.32,-0.9299999999999995,0.8399999999999999,5.2,2.12,1.03,1.46,2.7,4.3
 CAFÉ SOLÚVEL,0.0,11.83,0.0,1.0700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04
 CHÁ,0.0,0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33000000000000007,0.0,0.0,-2.7699999999999996,-0.16999999999999993
 REFRIGERANTE E ÁGUA MINERAL,2.96,1.2200000000000002,-2.52,-2.71,0.5999999999999999,1.39,2.11,-0.99,0.27,1.27,-0.8,-0.69,-0.6400000000000001,0.33999999999999997
 CERVEJA,2.96,1.4999999999999998,0.73,1.73,1.56,-1.47,-0.039999999999999925,1.2000000000000002,3.2800000000000002,-1.5599999999999998,-1.11,-1.24,-0.75,1.1099999999999999
 OUTRAS BEBIDAS ALCOÓLICAS,0.47,-1.15,-1.1,-0.96,-1.2100000000000002,-3.92,-1.3000000000000003,-0.009999999999999953,-3.62,-1.35,1.29,0.44999999999999996,0.0,-0.9099999999999999
 ENLATADOS E CONSERVAS,-0.74,-1.1,-1.7599999999999998,0.6499999999999999,0.029999999999999943,-0.42,2.02,-0.88,3.0999999999999996,0.37000000000000005,0.9500000000000001,1.4300000000000002,0.3400000000000003,0.010000000000000064
 COCO RALADO,0.0,0.0,0.0,0.0,-4.13,3.3,0.0,0.0,0.0,1.88,0.0,0.0,4.76,-1.6100000000000003
 ERVILHA EM CONSERVA,-4.57,-5.73,0.0,0.0,0.0,-7.530000000000001,0.0,0.0,1.67,0.0,0.0,0.0,-3.15,-4.37
 PALMITO EM CONSERVA,-0.2999999999999998,0.0,-3.21,0.0,-0.32000000000000006,0.0,0.0,0.0,0.0,0.05999999999999983,4.28,8.100000000000001,0.0,-0.18999999999999995
 PEPINO EM CONSERVA,0.0,-2.4399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8199999999999998,0.0,0.0,-2.04,-1.01
 SARDINHA EM CONSERVA,-0.5800000000000001,4.59,4.36,3.7899999999999996,0.12,0.0,3.04,0.8700000000000001,7.64,1.4899999999999998,3.44,0.33000000000000007,2.6799999999999997,2.05
 SALSICHA EM CONSERVA,0.0,0.0,0.0,6.84,0.0,-6.58,0.42999999999999994,-4.9,0.0,0.0,0.0,0.0,0.0,0.1499999999999997
 CARNE EM CONSERVA,0.0,0.0,0.0,-5.319999999999999,0.0,0.0,6.359999999999999,-2.11,0.0,0.0,0.0,0.0,0.0,-0.25
 PATÊ,10.780000000000001,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9399999999999995
 SOPA  DESIDRATADA,0.0,-1.56,-2.05,0.0,1.9500000000000002,0.14,0.0,0.0,0.0,0.0,0.5699999999999998,3.9,0.0,0.20000000000000007
 AZEITONA,-3.17,0.0,0.4900000000000002,0.5899999999999999,2.04,3.76,1.06,0.0,5.53,-0.75,-1.43,3.55,-0.010000000000000231,0.82
 MILHO-VERDE EM CONSERVA,-1.5100000000000002,-5.34,-12.95,-0.6,-2.7300000000000004,-0.029999999999999916,-6.470000000000001,-1.27,-0.9800000000000001,-2.6199999999999997,-1.0400000000000003,-6.2,-4.19,-4.36
 ATUM EM CONSERVA,-1.27,0.6099999999999997,3.96,0.0,0.6799999999999997,0.8700000000000001,0.0,-1.17,-1.3199999999999998,2.29,0.0,0.0,0.0,0.6700000000000002
 SAL E CONDIMENTOS,4.18,2.97,3.0,5.78,6.9,1.45,4.1499999999999995,6.239999999999999,3.0900000000000003,3.3200000000000003,2.36,5.02,5.11,4.61
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.52,0.0,0.0,0.0,0.0,-4.52
 ATOMATADO,-1.42,0.29000000000000004,-1.23,2.7799999999999994,3.63,1.97,5.87,2.01,0.8999999999999999,-0.15000000000000002,1.5299999999999998,2.8200000000000003,1.22,1.51
 ALHO,8.92,0.0,7.75,8.75,13.549999999999999,-1.15,6.549999999999999,10.309999999999999,8.24,9.26,2.93,7.41,13.27,9.5
 SAL ,0.0,0.0,0.0,0.0,0.0,3.06,0.94,3.76,0.0,0.0,3.31,0.0,5.529999999999999,2.72
 FERMENTO,0.0,5.779999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,-1.0499999999999998,0.0,5.24
 MAIONESE,3.6500000000000004,2.88,3.7199999999999998,0.74,3.27,2.3900000000000006,-0.62,2.76,0.0,0.10000000000000009,-0.7800000000000002,5.3,0.3799999999999999,2.38
 VINAGRE,0.0,0.0,0.0,2.06,0.0,0.0,7.180000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.55
 CALDO CONCENTRADO,-0.29000000000000026,0.87,3.0999999999999996,8.84,5.51,2.6599999999999997,0.0,3.1900000000000004,3.56,0.0,0.0,4.63,0.0,3.7399999999999998
 TEMPERO MISTO,0.0,10.100000000000001,2.83,12.170000000000002,6.51,3.48,1.7599999999999998,2.63,6.64,6.01,3.7,1.97,0.93,5.51
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.16,1.03,1.22,0.6,0.86,1.63,0.56,0.12000000000000005,-0.6399999999999999,0.32,0.7300000000000001,1.0,0.6399999999999999,0.76
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.16,1.03,1.22,0.6,0.86,1.63,0.56,0.12000000000000005,-0.6399999999999999,0.32,0.7300000000000001,1.0,0.6399999999999999,0.76
 REFEIÇÃO,1.55,1.3900000000000001,1.74,1.81,1.16,1.55,-0.25000000000000006,-0.28,-0.33000000000000007,-0.55,0.17999999999999985,0.7200000000000001,0.6699999999999999,0.96
 LANCHE,0.58,1.4300000000000002,0.69,-0.81,0.12,2.42,-0.01000000000000005,0.7,0.4900000000000001,0.76,0.29000000000000004,2.1599999999999997,-0.18,0.49
 CAFÉ DA MANHÃ,-0.8199999999999998,3.48,0.7100000000000001,3.23,2.0600000000000005,-1.71,2.97,0.0,-2.96,0.0,0.0,1.04,0.0,1.09
 REFRIGERANTE E ÁGUA MINERAL,0.9199999999999998,-1.73,0.54,2.46,-0.8599999999999999,2.36,1.56,1.48,0.5899999999999999,-0.78,0.35,-0.53,1.99,0.010000000000000064
