Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.51,0.41999999999999993,-0.35000000000000003,1.12,0.21,0.56,-0.12000000000000002,-0.06999999999999999,0.01999999999999999,0.24,0.27,0.29000000000000004,-0.11000000000000004,0.22
 ALIMENTAÇÃO E BEBIDAS,0.1100000000000001,-0.7899999999999998,-0.54,-0.65,0.45999999999999996,0.36999999999999994,-0.65,-1.93,-0.59,-0.6499999999999999,-0.32,-0.3700000000000001,-1.1500000000000001,-0.27
 ALIMENTAÇÃO NO DOMICÍLIO,-0.61,-1.65,-1.36,-1.15,0.20999999999999996,-0.5800000000000001,-0.98,-2.62,-0.5700000000000001,-1.2199999999999998,-0.84,-1.0499999999999998,-1.9000000000000001,-0.8100000000000002
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.890000000000001,-11.17,0.8400000000000001,2.8,4.69,0.7199999999999998,3.7199999999999998,-6.37,12.69,-2.0200000000000005,12.57,-2.95,1.6500000000000004,1.54
 ARROZ,-4.75,-6.09,-3.4800000000000004,-3.47,-3.7800000000000002,-7.19,-5.86,-3.0,-1.6400000000000001,-7.91,-6.0,-4.42,-6.1,-4.59
 FEIJÃO-MULATINHO,0.0,0.0,0.0,0.33999999999999986,0.0,0.0,0.0,0.8099999999999999,1.2999999999999998,0.0,0.0,0.0,0.0,0.75
 FEIJÃO-PRETO,-4.94,-21.68,0.0,0.0,0.0,0.0,-15.920000000000002,0.0,0.0,1.42,0.0,-6.1899999999999995,-6.73,-9.94
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-6.369999999999999,0.0,0.0,0.0,-16.39,-3.960000000000001,0.0,0.0,0.0,0.0,-11.870000000000001
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,10.020000000000001,35.83,23.160000000000004,15.53,34.650000000000006,18.04,46.07,20.17,54.84,13.87,33.61,27.509999999999998
" FARINHAS, FÉCULAS E MASSAS",-0.79,-3.71,-1.86,0.22999999999999998,-0.20000000000000018,0.61,-1.88,-2.71,-0.7999999999999999,-3.26,-0.19,0.31999999999999995,-4.26,-1.3899999999999997
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8900000000000006,9.91,0.0,0.0,0.0,0.0,5.5200000000000005
 MACARRÃO,0.74,-2.87,-3.34,2.13,1.61,1.91,0.75,-0.5800000000000001,2.52,-4.67,1.15,0.74,-4.14,-0.19000000000000006
 FUBÁ DE MILHO,0.0,0.0,-0.7200000000000001,-4.840000000000001,0.0,0.0,0.0,0.0,-14.39,0.0,-1.98,0.0,0.0,-5.67
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,1.76
 FLOCOS DE MILHO,0.0,0.0,0.0,9.549999999999999,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76
 FARINHA DE TRIGO,-1.09,-4.390000000000001,-2.73,0.0,-0.18999999999999997,0.0,-3.05,0.0,0.0,-0.20000000000000007,-3.14,-0.09,-4.54,-1.7000000000000002
 FARINHA VITAMINADA,0.0,0.0,0.0,3.73,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,3.4299999999999997
 FARINHA DE MANDIOCA,-3.1199999999999997,0.0,0.0,-1.2500000000000002,0.0,-1.56,-2.4299999999999997,-7.369999999999999,-1.52,0.0,0.0,0.72,0.0,-2.4699999999999998
 MASSA SEMIPREPARADA,-3.41,-4.26,1.43,0.0,-3.63,-1.1800000000000002,0.0,0.0,0.0,-5.0,0.020000000000000018,-0.8599999999999999,-4.13,-2.9
" TUBÉRCULOS, RAÍZES E LEGUMES",5.209999999999999,24.060000000000002,2.869999999999999,-0.8000000000000007,4.669999999999998,2.3099999999999987,9.49,0.27999999999999936,-1.2300000000000004,25.23,-6.0699999999999985,2.259999999999998,15.220000000000002,6.149999999999999
 BATATA-INGLESA,15.899999999999999,35.0,12.459999999999999,16.4,21.400000000000002,19.07,17.09,10.82,-0.07000000000000028,36.59,13.59,11.530000000000001,31.59,18.919999999999998
 INHAME,0.0,0.0,0.0,-16.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.59
 MANDIOCA (AIPIM),0.0,-37.86,0.0,-5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.200000000000003,-12.669999999999998,-19.14
 ABÓBORA,-7.180000000000001,0.0,-1.7,0.0,0.0,-5.46,0.0,0.0,0.0,0.0,-6.430000000000001,0.0,0.0,-5.24
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.799999999999999,0.0,0.0,0.0,0.0,6.799999999999999
 QUIABO,0.0,0.0,1.0599999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0700000000000003
 TOMATE,10.299999999999997,36.42,1.9600000000000009,12.010000000000002,-3.0,-0.3500000000000014,14.4,4.530000000000001,4.350000000000001,24.87,-15.29,4.060000000000002,19.31,6.66
 CEBOLA,8.77,16.96,8.84,-8.760000000000002,9.86,19.62,-3.2699999999999996,-6.740000000000001,-6.369999999999999,38.03,12.280000000000001,3.3100000000000005,14.919999999999998,6.930000000000001
 CENOURA,-24.3,0.0,-22.56,0.0,-8.120000000000001,-21.58,0.0,-18.6,-14.73,-18.169999999999998,-18.39,-7.079999999999998,0.0,-16.25
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-11.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.350000000000001
 AÇÚCARES E DERIVADOS,-1.43,-3.42,0.2499999999999999,-5.65,-0.9199999999999999,-1.48,-4.789999999999999,-5.65,-3.4099999999999997,-1.2899999999999998,-7.9,-4.640000000000001,-7.79,-2.48
