Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1000000000000005,0.0,0.0,0.0,0.0,0.0,-4.1000000000000005
 FLOCOS DE MILHO,0.0,0.0,0.0,-1.5500000000000003,0.0,3.5599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7899999999999998
 FARINHA DE TRIGO,-8.84,4.08,-6.42,0.0,-4.88,0.0,1.17,0.0,0.0,-8.23,-6.42,-1.95,-2.04,-3.9799999999999995
 FARINHA VITAMINADA,0.0,0.0,0.0,-2.43,0.0,0.0,0.0,-1.9499999999999997,0.0,0.0,0.0,0.0,0.0,-2.21
 FARINHA DE MANDIOCA,-4.3,0.0,0.0,-8.3,0.0,-1.64,-8.44,-7.65,1.3399999999999999,0.0,0.0,-1.2799999999999998,0.0,-4.48
 MASSA SEMIPREPARADA,-3.35,0.45999999999999996,-0.040000000000000036,0.0,2.01,0.17000000000000004,0.0,0.0,0.0,1.0399999999999996,-0.7200000000000002,0.5000000000000002,-3.75,0.5
" TUBÉRCULOS, RAÍZES E LEGUMES",-13.9,-12.25,-15.549999999999999,-20.93,-7.9799999999999995,-15.29,-11.989999999999998,-14.890000000000002,-15.239999999999998,-15.75,-11.080000000000002,-14.190000000000001,-14.34,-13.12
 BATATA-INGLESA,-35.29,-29.900000000000002,-44.739999999999995,-31.43,-30.7,-37.22,-19.560000000000002,-22.32,-26.519999999999996,-28.68,-29.09,-36.68,-29.61,-32.27
 INHAME,0.0,0.0,0.0,-14.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.23
 MANDIOCA (AIPIM),0.0,-8.72,0.0,-1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.67,-2.34,-4.22
 ABÓBORA,0.5700000000000001,0.0,21.020000000000003,0.0,0.0,7.09,0.0,0.0,0.0,0.0,10.950000000000001,0.0,0.0,9.81
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,0.0,0.0,0.0,0.0,-3.2
 QUIABO,0.0,0.0,19.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89
 TOMATE,3.789999999999999,5.740000000000002,-6.090000000000003,-42.91,4.230000000000004,-3.4100000000000037,-22.73,-22.040000000000006,-27.010000000000005,-10.26,-3.9299999999999997,-6.850000000000001,-12.02,-7.960000000000001
 CEBOLA,6.099999999999998,16.96,1.69,10.950000000000001,1.1999999999999993,-9.23,11.41,10.510000000000002,15.590000000000002,1.2899999999999991,-3.740000000000001,13.62,1.6100000000000003,6.01
 CENOURA,-3.28,0.0,5.03,0.0,8.370000000000001,-9.16,0.0,-1.15,-20.650000000000002,-7.18,-9.56,3.91,0.0,-1.08
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1299999999999997
