Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 COMBUSTÍVEIS (DOMÉSTICOS),5.6,1.63,4.67,12.559999999999999,7.89,12.64,7.57,8.95,5.36,3.6500000000000004,10.809999999999999,10.74,10.45,6.84
 CARVÃO VEGETAL,0.0,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89
 GÁS DE BOTIJÃO,6.9,1.25,4.67,12.559999999999999,8.620000000000001,12.64,7.57,8.95,5.36,3.54,10.809999999999999,10.74,10.45,7.15
 GÁS ENCANADO,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,1.26
 ENERGIA ELÉTRICA RESIDENCIAL,1.73,5.84,5.67,6.86,4.13,4.95,-1.0399999999999996,0.9600000000000001,-0.2199999999999993,3.2600000000000002,33.47,-3.49,3.2,4.4
 ENERGIA ELÉTRICA RESIDENCIAL,1.73,5.84,5.67,6.86,4.13,4.95,-1.0399999999999996,0.9600000000000001,-0.2199999999999993,3.2600000000000002,33.47,-3.49,3.2,4.4
 ARTIGOS DE RESIDÊNCIA,-1.85,-0.72,0.16999999999999996,-1.6500000000000001,-0.87,-0.71,-0.83,-0.18,-0.96,0.0,-1.07,-1.6400000000000001,-1.23,-0.81
 MÓVEIS E UTENSÍLIOS,-1.08,-0.050000000000000044,1.2,-2.21,-0.15000000000000002,-0.55,-0.82,1.1600000000000001,-0.15999999999999992,0.8400000000000001,-0.7599999999999998,-0.7,-1.19,-0.11000000000000001
 MOBILIÁRIO,-1.9400000000000002,-0.42999999999999994,1.29,-3.2700000000000005,0.21000000000000008,-1.35,0.69,0.76,-1.3199999999999998,1.27,-1.0300000000000002,-0.52,-1.0699999999999998,-0.22
 MÓVEL PARA SALA,-2.1,-1.59,1.4799999999999998,-5.01,-1.7400000000000002,-1.67,0.1900000000000004,0.40000000000000036,1.0399999999999998,3.46,-3.99,2.49,-0.5200000000000002,-0.6799999999999999
 MÓVEL PARA QUARTO,-2.06,-0.42000000000000004,0.6199999999999999,-3.2299999999999995,1.42,-2.08,0.6000000000000001,2.9000000000000004,-0.20999999999999996,1.8499999999999999,2.54,-2.65,-1.32,0.29000000000000004
 MÓVEL PARA COPA E COZINHA,-3.77,0.57,1.47,2.6999999999999997,-1.89,-1.0,2.67,0.3500000000000001,-7.57,-2.34,1.3099999999999998,-2.61,-1.02,-1.27
 MÓVEL INFANTIL,0.0,0.0,0.0,-3.2,0.0,0.0,2.21,-0.8099999999999999,0.0,0.0,1.23,0.0,0.0,0.13
 COLCHÃO,1.15,3.0700000000000003,2.84,-2.64,5.28,4.28,0.49,-3.4099999999999997,-5.390000000000001,-0.3300000000000001,-0.060000000000000164,3.69,-2.2600000000000002,1.35
 UTENSÍLIOS E ENFEITES,0.7600000000000001,1.5,0.8200000000000001,0.21999999999999997,-0.08000000000000007,0.0,-0.31999999999999995,1.9,2.26,0.44000000000000006,-0.67,-0.5999999999999999,-0.7600000000000001,0.5
 TAPETE,-1.1400000000000001,0.14000000000000035,0.20000000000000018,3.2399999999999998,1.6300000000000003,-0.029999999999999805,-0.010000000000000009,0.0,2.92,1.3900000000000001,-2.59,0.35999999999999993,2.8000000000000003,0.65
 CORTINA,-3.58,7.8500000000000005,-0.35000000000000053,0.26,2.4299999999999997,-3.7699999999999996,0.27,0.55,2.18,2.99,-1.7700000000000002,-0.9199999999999999,0.26,1.4299999999999997
 UTENSÍLIOS DE METAL,2.25,-3.68,1.6099999999999999,1.51,-4.76,-1.92,-1.23,-1.1599999999999997,1.3,-0.29000000000000015,-3.32,0.54,3.08,-1.65
 UTENSÍLIOS DE VIDRO E LOUÇA,-4.759999999999999,-0.75,0.28,0.10000000000000009,0.8900000000000001,2.05,-1.7799999999999998,-0.010000000000000009,2.05,1.2100000000000002,1.5900000000000003,1.8000000000000003,-2.2199999999999998,0.21000000000000002
 UTENSÍLIOS DE PLÁSTICO,-1.7900000000000003,-2.85,0.0,4.39,3.15,-2.4699999999999998,-0.78,1.0099999999999998,-0.20999999999999996,-3.0499999999999994,4.2299999999999995,0.69,-5.48,0.8500000000000001
 FLORES NATURAIS,0.0,8.82,0.0,0.0,-3.05,0.0,0.0,0.0,0.5999999999999999,-1.2600000000000002,0.0,0.0,-0.5700000000000001,-0.64
 UTENSÍLIOS DIVERSOS,3.31,1.58,2.7199999999999998,-2.5,0.7499999999999999,3.31,1.3,4.3,4.74,-0.58,0.06000000000000011,-3.27,-3.21,1.46
" CAMA, MESA E BANHO",0.7499999999999999,-1.25,1.49,-1.94,-1.9000000000000001,2.4400000000000004,-4.59,2.2300000000000004,0.78,-0.2400000000000002,0.11999999999999966,-1.68,-2.3,-0.73
 ROUPA DE CAMA,-1.53,-1.47,-0.10000000000000009,-1.33,-2.6100000000000003,2.4400000000000004,-5.67,2.47,0.5700000000000001,-0.5799999999999998,0.11999999999999966,-4.220000000000001,1.04,-1.3599999999999999
 ROUPA DE BANHO,6.66,-0.6100000000000002,5.72,-3.0199999999999996,-0.3900000000000001,0.0,0.9399999999999997,1.75,1.6300000000000001,0.8500000000000001,0.0,4.15,-11.3,1.08
 APARELHOS ELETROELETRÔNICOS,-3.05,-2.45,-2.0300000000000002,-1.9800000000000002,-2.48,-1.12,-1.22,-1.42,-1.8399999999999999,-0.69,-2.13,-3.39,-1.7899999999999998,-2.1
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-2.6,-2.6100000000000003,-2.0300000000000002,-2.05,-2.56,-0.5,0.29999999999999993,-0.83,-1.2199999999999998,-1.19,-0.1200000000000001,-2.44,-1.77,-1.85
 REFRIGERADOR,-2.72,-3.37,-2.55,-5.65,-2.07,-0.6900000000000001,3.1500000000000004,-0.07000000000000028,-1.5099999999999998,0.21999999999999975,0.6999999999999997,-1.54,-1.9200000000000002,-1.6300000000000001
 AR-CONDICIONADO,0.06999999999999995,-3.3699999999999997,0.0,-0.32000000000000006,0.0,0.0,-0.6400000000000001,0.0,0.0,-4.9,0.0,-0.6799999999999998,-0.039999999999999925,-1.53
 MÁQUINA DE LAVAR ROUPA,-3.75,-0.05000000000000003,-1.81,4.93,-2.1099999999999994,-3.62,-3.53,0.6800000000000002,-0.5800000000000001,-2.8,1.23,-3.67,-0.9200000000000002,-1.65
 LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-3.62,0.0,0.0,0.0,0.0,0.0,0.0,-3.62
 VENTILADOR,-6.1,0.0,0.0,-0.06000000000000005,0.0,0.0,-3.2199999999999998,-3.5799999999999996,0.0,0.0,0.0,0.0,-2.8600000000000003,-3.37
 FOGÃO,-1.4999999999999998,-3.96,-1.7,-0.5399999999999996,-4.94,4.99,-1.31,-2.56,-0.8900000000000001,-0.24,-1.82,-4.42,-2.7,-2.29
 CHUVEIRO ELÉTRICO,0.0,1.56,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
 FORNO DE MICRO-ONDAS,0.0,-4.73,0.17999999999999994,0.0,-3.08,0.0,0.0,0.0,0.0,-3.9099999999999993,-4.279999999999999,0.0,0.0,-3.1399999999999997
" TV, SOM E INFORMÁTICA",-3.65,-2.13,-2.02,-1.89,-2.3600000000000003,-1.8699999999999999,-4.34,-2.24,-2.65,0.25,-5.11,-4.73,-1.83,-2.5100000000000002
 TELEVISOR,-2.66,-1.7999999999999998,-3.2600000000000002,-1.81,-1.4799999999999998,-1.4100000000000001,-7.26,-4.82,-3.22,0.2200000000000002,-4.54,-6.34,-7.93,-2.6500000000000004
 APARELHO DE SOM,-3.4,1.3099999999999996,-0.2999999999999998,-2.87,-0.8799999999999999,-1.48,2.7700000000000005,-0.25,0.7799999999999998,-4.12,-0.7,-2.2100000000000004,-5.32,-1.1
 APARELHO DE DVD,0.13999999999999999,-3.21,-1.08,1.01,-7.25,-5.63,-2.5300000000000002,-2.5,-1.29,-2.6999999999999997,-5.630000000000001,1.8800000000000001,-2.4699999999999998,-3.0599999999999996
 ANTENA,0.0,0.0,0.0,-1.89,0.0,0.0,-1.4700000000000002,-2.24,0.0,0.0,-0.52,0.0,0.0,-1.58
 MICROCOMPUTADOR,-4.949999999999999,-3.3099999999999996,-1.7800000000000002,-2.5,-2.26,-1.7400000000000002,-5.51,-0.5,-3.38,1.6900000000000004,-6.699999999999999,-4.77,2.5700000000000003,-2.65
 CONSERTOS E MANUTENÇÃO,-0.47,2.31,2.08,4.59,1.52,-0.13,1.94,-1.32,-2.06,-1.49,1.48,-0.55,0.68,0.9
 CONSERTOS E MANUTENÇÃO,-0.47,2.31,2.08,4.59,1.52,-0.13,1.94,-1.32,-2.06,-1.49,1.48,-0.55,0.68,0.9
