Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CAMISA / CAMISETA INFANTIL,-0.46999999999999975,-4.66,-0.28000000000000025,-0.32999999999999974,-0.9199999999999999,1.6400000000000001,-2.18,-4.18,-8.18,2.54,-0.35,2.55,-1.87,-1.5299999999999998
 CONJUNTO INFANTIL,0.0,0.0,-0.09000000000000008,-2.95,-3.83,-0.2099999999999999,-3.12,-0.17000000000000015,0.0,0.0,-3.9399999999999995,0.47,0.0,-2.29
 CALÇADOS E ACESSÓRIOS,0.22999999999999998,-1.9000000000000001,-0.28,-0.8700000000000001,1.3399999999999999,0.37000000000000016,-1.56,-2.5300000000000002,-1.9300000000000002,0.6300000000000001,-2.3800000000000003,-0.5,-2.0,-0.24999999999999997
 CALÇADOS E ACESSÓRIOS,0.22999999999999998,-1.9000000000000001,-0.28,-0.8700000000000001,1.3399999999999999,0.37000000000000016,-1.56,-2.5300000000000002,-1.9300000000000002,0.6300000000000001,-2.3800000000000003,-0.5,-2.0,-0.24999999999999997
 SAPATO MASCULINO,-1.0100000000000002,-4.77,1.1700000000000002,-3.75,1.5700000000000003,4.75,-3.0399999999999996,-0.17000000000000004,-5.21,5.669999999999999,-4.08,0.06999999999999995,-4.02,-0.3699999999999999
 SAPATO FEMININO,1.5500000000000003,-1.9299999999999997,-2.9800000000000004,0.6200000000000001,2.1300000000000003,0.6699999999999999,-7.74,-0.8099999999999998,-3.9700000000000006,-1.3699999999999999,-2.5999999999999996,-5.27,2.3999999999999995,-0.7000000000000001
 SAPATO INFANTIL,0.0,0.0,0.0,-1.96,0.0,0.0,-0.7600000000000002,0.0,1.0700000000000003,0.0,0.0,0.0,0.0,-0.3599999999999999
 SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,1.26,0.0,0.0,-1.1800000000000002,0.0,-1.8400000000000003,0.0,0.0,0.0,0.0,-0.69
 SANDÁLIA / CHINELO FEMININO,-3.27,-7.68,-2.3899999999999997,-3.1399999999999997,-3.61,1.3600000000000003,-2.4,-3.05,0.16000000000000025,-4.3,-4.62,2.97,-6.41,-3.0199999999999996
 SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,-0.4200000000000004,0.0,5.42,-1.73,-4.58,3.86,0.0,0.030000000000000027,-0.8500000000000001,-0.95,-0.22999999999999998
