Variacoes - JANEIRO - FEVEREIRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FILÉ-MIGNON,-1.49,0.0,0.0,0.0,0.0,0.0,-4.43,0.0,0.0,1.3,0.0,0.0,0.0,2.52,0.0,0.0,-0.8799999999999999
 CHÃ DE DENTRO,0.16000000000000014,0.06999999999999995,0.030000000000000027,-0.7399999999999998,0.8300000000000001,-0.72,-2.32,1.3299999999999996,4.390000000000001,-4.26,-0.18,1.76,2.88,2.46,-2.8099999999999996,1.7599999999999998,0.16999999999999993
 ALCATRA,0.9300000000000002,-0.3599999999999999,1.2299999999999998,1.0799999999999998,1.79,2.0700000000000003,1.1300000000000001,3.1,5.53,3.25,1.19,2.27,0.75,2.29,1.42,2.06,1.73
 PATINHO,-4.640000000000001,0.0,-1.19,-0.72,-0.7599999999999998,0.0,-2.71,1.1099999999999999,0.0,1.9200000000000002,0.8499999999999999,0.09000000000000008,1.5699999999999998,1.18,2.25,2.06,-0.5599999999999999
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08
 LAGARTO COMUM,0.0,2.97,0.0,0.0,-1.06,0.0,0.0,0.0,5.56,0.0,-0.3899999999999999,0.0,2.1,0.56,0.0,0.0,0.8400000000000001
 MÚSCULO,0.020000000000000018,-2.52,-3.47,-2.14,0.86,0.0,-4.140000000000001,0.0,-4.79,-1.0500000000000003,-1.2300000000000002,0.0,-2.17,4.3,-4.84,0.53,-1.77
 PÁ,0.0,-3.7800000000000002,-1.94,0.44,0.27,0.0,-0.96,0.0,0.0,0.0,0.0,-4.21,0.25,-0.10000000000000009,0.7200000000000001,-3.0100000000000002,-1.1300000000000001
 ACÉM,-1.88,-3.8299999999999996,-2.8,0.5599999999999999,-1.3599999999999999,-0.7199999999999998,-2.98,-3.6500000000000004,-5.35,-3.4600000000000004,-2.73,-6.130000000000001,-1.6600000000000001,-1.45,2.46,-3.4000000000000004,-2.33
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-3.9499999999999997,0.0,0.0,0.0,0.0,0.0,2.63,-0.95,3.66,1.9,-1.52
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,3.12,-1.41,0.0,-0.43000000000000016,0.31999999999999995,1.83,0.0,0.0,1.24
 COSTELA,-0.6799999999999999,-5.28,-2.12,0.26,-0.32000000000000006,1.25,-2.68,-8.49,2.54,-0.2400000000000002,-1.7599999999999998,-3.2300000000000004,-1.73,-1.4300000000000002,0.9199999999999999,2.63,-1.59
 PICANHA,0.0,-0.48,0.30000000000000027,0.0,0.0,1.38,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
 PESCADOS,4.45,-1.48,4.01,0.26,3.29,0.42000000000000015,0.5099999999999998,-1.19,3.06,9.18,-0.27,6.66,-0.6199999999999999,4.49,-0.8899999999999999,1.55,1.7800000000000002
 PEIXE-ANCHOVA,0.0,0.0,0.0,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1
 PEIXE-CORVINA,4.930000000000001,0.0,0.0,4.23,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.3700000000000001,3.62,4.12
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9499999999999997,0.0,-1.9499999999999997
 PEIXE-SARDINHA,0.0,2.76,0.0,3.89,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76
 CAMARÃO,2.69,-2.24,0.0,-2.71,0.0,-4.48,-2.84,0.56,0.6300000000000003,0.76,-4.48,1.1800000000000002,0.0,0.0,2.77,0.3400000000000001,-0.5800000000000001
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26
 PEIXE-MERLUZA,0.0,0.0,5.13,2.43,1.4200000000000002,0.0,0.0,0.0,4.54,0.0,-0.2300000000000001,0.0,0.0,0.0,0.0,0.0,2.13
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.83
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,-1.18,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8800000000000001,-2.07,1.6999999999999997
 CARANGUEJO,4.45,0.0,0.0,0.0,0.0,0.0,0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3400000000000003
 PEIXE-CASTANHA,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,4.68
 PEIXE-SALMÃO,5.359999999999999,0.0,0.0,0.0,5.68,3.3099999999999996,0.0,-1.96,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.390000000000001
 PEIXE-TILÁPIA,0.0,-3.25,3.69,-0.8,7.17,3.2800000000000002,0.0,-0.41999999999999993,0.51,10.23,4.21,-0.98,-2.15,0.0,0.0,5.0600000000000005,3.77
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-1.79,6.25,0.0,0.0,0.0,-1.34,0.0,2.55,4.45,-1.66,0.0,1.65
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-13.079999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.079999999999998
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-6.97,3.969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699999999999998
