MÊS,PRODUTO,REGIÃO,PREÇO MÉDIO REVENDA
05-01-2016,GASOLINA COMUM,SUDESTE,3.685660714285714
05-01-2016,GASOLINA COMUM,SUL,3.778978260869565
05-01-2016,GLP,CENTRO OESTE,61.32993939393939
05-01-2016,GLP,NORDESTE,51.998354545454546
05-01-2016,GLP,NORTE,61.26415384615385
05-01-2016,GLP,SUDESTE,51.839656250000004
05-01-2016,GLP,SUL,55.18455434782609
05-01-2016,GNV,CENTRO OESTE,2.6728
05-01-2016,GNV,NORDESTE,2.411025641025641
05-01-2016,GNV,NORTE,2.85
05-01-2016,GNV,SUDESTE,2.227341772151899
05-01-2016,GNV,SUL,2.4703928571428575
05-01-2016,OLEO DIESEL,CENTRO OESTE,3.1657575757575755
05-01-2016,OLEO DIESEL,NORDESTE,3.0531599999999997
05-01-2016,OLEO DIESEL,NORTE,3.3176315789473683
05-01-2016,OLEO DIESEL,SUDESTE,2.9864170403587442
05-01-2016,OLEO DIESEL,SUL,2.9341956521739134
05-01-2016,OLEO DIESEL S10,CENTRO OESTE,3.329181818181818
05-01-2016,OLEO DIESEL S10,NORDESTE,3.1668660714285717
05-01-2016,OLEO DIESEL S10,NORTE,3.4315249999999997
05-01-2016,OLEO DIESEL S10,SUDESTE,3.1159419642857142
05-01-2016,OLEO DIESEL S10,SUL,3.0727499999999996
05-01-2017,ETANOL HIDRATADO,CENTRO OESTE,2.7926060606060608
05-01-2017,ETANOL HIDRATADO,NORDESTE,3.1390090090090093
05-01-2017,ETANOL HIDRATADO,NORTE,3.629
05-01-2017,ETANOL HIDRATADO,SUDESTE,2.708125
05-01-2017,ETANOL HIDRATADO,SUL,3.230836956521739
05-01-2017,GASOLINA COMUM,CENTRO OESTE,3.726060606060606
05-01-2017,GASOLINA COMUM,NORDESTE,3.715491071428571
05-01-2017,GASOLINA COMUM,NORTE,3.993125
05-01-2017,GASOLINA COMUM,SUDESTE,3.668767857142857
05-01-2017,GASOLINA COMUM,SUL,3.693173913043478
05-01-2017,GLP,CENTRO OESTE,64.21521212121212
05-01-2017,GLP,NORDESTE,55.28510909090909
05-01-2017,GLP,NORTE,67.65305128205128
05-01-2017,GLP,SUDESTE,55.861192825112106
05-01-2017,GLP,SUL,58.985663043478255
05-01-2017,GNV,CENTRO OESTE,2.4423333333333335
05-01-2017,GNV,NORDESTE,2.4654848484848486
05-01-2017,GNV,NORTE,2.85
05-01-2017,GNV,SUDESTE,2.335714285714286
05-01-2017,GNV,SUL,2.438814814814815
05-01-2017,OLEO DIESEL,CENTRO OESTE,3.2113030303030303
05-01-2017,OLEO DIESEL,NORDESTE,3.0258453608247424
05-01-2017,OLEO DIESEL,NORTE,3.3002777777777776
05-01-2017,OLEO DIESEL,SUDESTE,3.0218660714285717
05-01-2017,OLEO DIESEL,SUL,2.9223586956521737
05-01-2017,OLEO DIESEL S10,CENTRO OESTE,3.354727272727273
05-01-2017,OLEO DIESEL S10,NORDESTE,3.1124642857142857
05-01-2017,OLEO DIESEL S10,NORTE,3.40815
05-01-2017,OLEO DIESEL S10,SUDESTE,3.142669642857143
05-01-2017,OLEO DIESEL S10,SUL,3.046576086956522
05-01-2018,ETANOL HIDRATADO,CENTRO OESTE,3.0335
05-01-2018,ETANOL HIDRATADO,NORDESTE,3.4858404255319146
05-01-2018,ETANOL HIDRATADO,NORTE,3.8574333333333333
05-01-2018,ETANOL HIDRATADO,SUDESTE,2.961721153846154
05-01-2018,ETANOL HIDRATADO,SUL,3.549105882352941
05-01-2018,GASOLINA COMUM,CENTRO OESTE,4.40634375
05-01-2018,GASOLINA COMUM,NORDESTE,4.3841875
05-01-2018,GASOLINA COMUM,NORTE,4.551648648648649
05-01-2018,GASOLINA COMUM,SUDESTE,4.386230769230769
05-01-2018,GASOLINA COMUM,SUL,4.330581395348838
05-01-2018,GLP,CENTRO OESTE,77.9651875
05-01-2018,GLP,NORDESTE,64.70802083333334
05-01-2018,GLP,NORTE,79.30805405405405
05-01-2018,GLP,SUDESTE,65.15914492753623
05-01-2018,GLP,SUL,68.91810465116279
05-01-2018,GNV,CENTRO OESTE,2.7405
05-01-2018,GNV,NORDESTE,2.869655172413793
05-01-2018,GNV,NORTE,3.179
05-01-2018,GNV,SUDESTE,2.608337837837838
05-01-2018,GNV,SUL,2.610222222222222
05-01-2018,OLEO DIESEL,CENTRO OESTE,3.8285625
05-01-2018,OLEO DIESEL,NORDESTE,3.659382716049383
05-01-2018,OLEO DIESEL,NORTE,3.813029411764706
05-01-2018,OLEO DIESEL,SUDESTE,3.629966346153846
05-01-2018,OLEO DIESEL,SUL,3.5085697674418608
05-01-2018,OLEO DIESEL S10,CENTRO OESTE,3.9395000000000002
05-01-2018,OLEO DIESEL S10,NORDESTE,3.7280416666666665
05-01-2018,OLEO DIESEL S10,NORTE,3.924081081081081
05-01-2018,OLEO DIESEL S10,SUDESTE,3.7340913461538463
05-01-2018,OLEO DIESEL S10,SUL,3.608360465116279
06-01-2016,ETANOL HIDRATADO,CENTRO OESTE,2.6706363636363637
06-01-2016,ETANOL HIDRATADO,NORDESTE,3.1225045045045046
06-01-2016,ETANOL HIDRATADO,NORTE,3.4933030303030304
