Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CERVEJA,0.54,0.29000000000000004,1.4500000000000002,-1.1799999999999997,0.41999999999999993,-0.8000000000000002,0.37,-1.2399999999999998,-2.9,0.5399999999999996,0.32999999999999996,0.8200000000000001,-0.8300000000000001,-1.1400000000000001,-1.37,-0.21999999999999975,0.17000000000000004
 OUTRAS BEBIDAS ALCOÓLICAS,-0.21999999999999986,-0.38,2.88,-1.5099999999999998,0.009999999999999787,-0.3499999999999999,-0.6900000000000001,0.5199999999999998,0.40999999999999975,-1.0,-3.74,1.32,0.0,0.0,0.0,0.29000000000000004,-0.15999999999999998
 ENLATADOS E CONSERVAS,0.08000000000000007,-1.52,-0.48999999999999977,-1.5,-1.42,-1.46,-0.5800000000000001,-0.71,-1.81,0.99,1.23,1.06,1.2600000000000002,1.43,-2.07,1.3199999999999998,-0.7300000000000001
 COCO RALADO,0.0,0.0,0.0,0.0,0.6399999999999997,-4.3999999999999995,0.0,0.0,0.0,-0.9099999999999997,0.0,0.0,1.0,0.0,0.0,0.0,-0.15000000000000013
 ERVILHA EM CONSERVA,4.97,-4.1,0.0,0.0,0.0,-3.21,0.0,0.0,-1.4900000000000002,0.0,0.0,0.0,3.02,0.0,0.0,0.71,-1.03
 PALMITO EM CONSERVA,-1.38,0.0,-4.74,0.0,1.62,0.0,0.0,0.0,0.0,-2.49,1.1600000000000004,3.39,0.0,0.0,0.0,0.0,-0.17000000000000004
 PEPINO EM CONSERVA,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,1.2600000000000002,0.0,0.0,0.0,3.59
 SARDINHA EM CONSERVA,-0.9699999999999998,-4.48,-2.65,-4.52,-3.0300000000000002,0.0,-3.06,-1.8600000000000003,-2.23,-0.54,1.13,-0.7499999999999996,0.5,0.3699999999999999,-3.3,0.5,-2.5300000000000002
 SALSICHA EM CONSERVA,0.0,0.0,0.0,-0.13000000000000012,0.0,6.74,1.03,-1.9700000000000002,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,0.0,3.44,1.2399999999999998
 CARNE EM CONSERVA,0.0,0.0,0.0,1.19,0.0,0.0,1.79,-0.1100000000000001,0.0,0.0,0.0,0.0,0.0,1.67,0.3700000000000001,2.2600000000000002,1.27
 PATÊ,-5.51,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.23
 SOPA DESIDRATADA,0.0,-3.96,-2.9299999999999997,0.0,-4.61,-3.3799999999999994,0.0,0.0,0.0,0.0,-1.02,-2.4000000000000004,0.0,1.13,0.0,0.0,-3.71
 AZEITONA,-0.7999999999999998,0.0,0.9600000000000002,-0.5299999999999998,-3.17,-1.23,-0.16999999999999998,0.0,0.010000000000000009,2.37,0.58,1.5499999999999998,-2.69,0.0,0.0,0.0,-1.03
 MILHO-VERDE EM CONSERVA,6.63,0.54,3.9200000000000004,4.01,1.69,0.4800000000000002,1.96,4.319999999999999,-1.24,4.67,6.6,4.510000000000001,8.2,4.85,5.609999999999999,1.7,2.9800000000000004
 ATUM EM CONSERVA,0.5900000000000001,-3.3200000000000003,1.3000000000000003,0.0,0.3899999999999999,-2.94,0.0,1.4999999999999998,-4.04,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000000000024
 SAL E CONDIMENTOS,6.619999999999999,0.08999999999999986,4.43,-0.9900000000000001,1.46,-0.33999999999999997,3.15,4.07,3.63,2.8699999999999997,3.19,12.620000000000001,3.8799999999999994,7.66,6.51,2.7199999999999998,2.83
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19
 ATOMATADO,0.39999999999999986,-0.1000000000000002,-1.23,-3.33,-2.88,-3.2700000000000005,2.9700000000000006,-0.16999999999999982,0.8999999999999999,1.4299999999999997,-1.88,3.64,-1.4000000000000001,-0.9000000000000001,3.33,2.86,-1.09
 ALHO,15.55,0.0,17.79,3.44,9.92,7.83,9.55,11.86,6.799999999999999,8.57,15.41,28.48,17.23,24.95,24.74,6.0600000000000005,12.400000000000002
 SAL,0.0,0.0,0.0,0.0,0.0,0.73,1.0,0.9099999999999999,0.0,0.0,2.0300000000000002,0.0,3.61,0.74,-0.9099999999999999,0.0,1.2
 FERMENTO,0.0,-0.9700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,2.3600000000000003,0.0,0.0,0.0,0.0,1.67
 MAIONESE,-2.1,-2.94,-1.1299999999999997,-1.4299999999999997,-0.5399999999999998,-5.91,1.8500000000000005,-1.6199999999999999,0.0,3.01,1.1400000000000001,0.1100000000000001,1.8399999999999999,3.4699999999999998,0.0,0.0,-0.5200000000000001
 VINAGRE,0.0,0.0,0.0,0.47999999999999954,0.0,0.0,-0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44000000000000017,-1.5,-0.019999999999999796
 CALDO CONCENTRADO,1.9599999999999997,5.51,2.64,-5.989999999999999,4.55,-2.58,0.0,-1.03,9.79,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.48,3.5299999999999994
 TEMPERO MISTO,0.0,1.85,2.0300000000000002,1.0699999999999998,1.3899999999999997,-1.9,-0.03000000000000025,-2.4299999999999997,2.02,-0.43000000000000027,-1.45,1.2600000000000002,-0.77,1.7000000000000002,-1.8900000000000001,1.0,0.6199999999999999
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.75,-0.18,1.33,1.08,1.28,1.05,0.6799999999999999,0.22,0.6900000000000001,0.77,2.2800000000000002,0.3699999999999999,-1.6500000000000001,-1.12,-0.030000000000000027,1.38,0.6900000000000001
