Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 LEITE LONGA VIDA,2.8500000000000005,17.479999999999997,6.1899999999999995,-7.84,4.610000000000001,-3.91,4.159999999999999,-5.140000000000001,-7.880000000000001,6.199999999999999,3.1599999999999997,1.8800000000000003,-2.08,-1.74,-3.3300000000000005,-2.43,4.41
 LEITE CONDENSADO,0.62,-6.9399999999999995,0.0,0.0,0.0,0.0,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4500000000000002,0.0,0.0,-3.92
 LEITE EM PÓ,-2.5700000000000003,0.0,-2.15,0.040000000000000036,1.04,0.0,-0.28000000000000025,-1.29,0.6699999999999998,-1.62,2.6900000000000004,0.5900000000000001,-0.28,-1.85,-1.97,1.1099999999999999,-0.4000000000000001
 QUEIJO,0.83,4.140000000000001,2.04,-3.83,1.3900000000000001,-2.2399999999999998,3.1199999999999997,-3.2600000000000002,0.23000000000000004,1.8399999999999999,-0.21999999999999975,-7.01,1.04,-8.67,-0.52,-3.17,0.76
 IOGURTE E BEBIDAS LÁCTEAS,3.64,1.22,7.79,2.44,3.5,3.92,9.280000000000001,5.15,5.180000000000001,4.84,7.53,1.86,4.52,2.75,1.0400000000000003,3.8000000000000003,4.22
 REQUEIJÃO,-0.97,0.0,3.8899999999999997,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
 MANTEIGA,-0.49,0.0,1.08,-0.30999999999999994,0.0,2.02,-0.92,1.1099999999999999,0.22,0.0,-5.25,5.94,0.0,-2.1300000000000003,0.0,1.06,-0.09999999999999998
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,7.26
 PANIFICADOS,1.8399999999999999,1.8900000000000001,1.52,-0.94,2.35,1.7,0.51,1.0899999999999999,1.5499999999999998,3.7,3.44,1.6400000000000001,1.5700000000000003,0.62,2.1599999999999997,1.5999999999999999,1.8800000000000001
 BISCOITO,-0.6100000000000001,-0.59,2.44,0.81,1.4300000000000002,3.33,0.17000000000000004,-0.8200000000000001,2.0,3.31,6.33,1.48,0.76,2.83,1.2199999999999998,2.16,1.47
