Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CUECA,0.0,0.0,0.0,0.0,0.0,0.0,-2.4699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.1099999999999999,1.8899999999999997,0.0,-1.25
 CAMISA/CAMISETA MASCULINA,-0.43000000000000005,2.84,3.21,0.35,0.7699999999999999,2.2800000000000002,-1.6700000000000002,-0.8099999999999998,5.050000000000001,2.7199999999999998,-1.1,2.58,0.44999999999999973,6.27,1.0799999999999998,1.95,1.3599999999999999
 ROUPA FEMININA,-2.0100000000000002,-1.0599999999999998,1.0499999999999996,-0.20999999999999996,2.04,-1.8800000000000001,0.7899999999999998,1.02,-1.05,-0.07000000000000003,0.51,-1.8199999999999998,0.21000000000000002,2.45,-0.8399999999999999,0.83,0.36
 CALÇA COMPRIDA FEMININA,1.35,-1.0100000000000002,0.9400000000000004,-0.43,2.38,-0.72,1.72,0.9400000000000001,-1.4100000000000001,1.15,-3.79,-3.83,1.86,0.1499999999999999,-1.5999999999999999,0.99,0.6399999999999999
 AGASALHO FEMININO,0.0,-5.8999999999999995,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,-5.7,0.0,0.0,2.56,0.0,0.0,0.0,-4.31
 SAIA,0.0,0.0,0.0,1.8699999999999997,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.7100000000000002,4.13,2.92
 VESTIDO,-6.66,-2.5300000000000002,-2.3,-3.8,3.16,-1.0999999999999999,-0.64,0.55,-2.6400000000000006,2.25,1.06,-1.3900000000000001,0.42000000000000015,1.6799999999999997,-2.5,-1.4700000000000002,-0.45
 BLUSA,-0.8799999999999999,0.3699999999999999,3.1,1.13,1.3,-2.91,0.1599999999999999,1.9500000000000002,0.5,-1.0899999999999999,3.6999999999999997,-1.5,-2.21,5.52,-0.75,0.52,0.6599999999999999
 LINGERIE,0.0,2.4600000000000004,2.8899999999999997,1.64,1.8699999999999999,0.0,2.17,-3.48,0.18999999999999995,0.77,-0.5100000000000001,0.0,-0.5599999999999996,-1.7200000000000002,2.23,1.6,1.4100000000000001
 BERMUDA/SHORT FEMININO,-1.05,0.0,1.8399999999999999,0.39,0.0,0.0,1.9500000000000002,1.8199999999999998,-1.8199999999999998,-1.5200000000000002,0.93,0.22999999999999954,3.6,3.63,-0.13000000000000023,3.86,0.5299999999999999
 ROUPA INFANTIL,-0.27,-0.10999999999999996,1.9500000000000002,-1.4299999999999997,0.3899999999999997,1.0899999999999999,0.69,2.5100000000000007,3.21,-1.17,-1.03,0.7799999999999999,0.9400000000000001,2.96,-2.16,0.009999999999999898,0.44000000000000017
 UNIFORME ESCOLAR,0.0,0.0,1.08,1.33,-1.63,2.65,2.37,1.9,0.0,-0.14000000000000012,0.5800000000000001,-0.63,0.0,0.0,-0.5899999999999999,-3.99,-0.03
 CALÇA COMPRIDA INFANTIL,0.0,-1.4599999999999997,-0.14,0.0,-2.5700000000000003,-5.03,0.0,0.0,0.48,-0.4899999999999999,-4.9399999999999995,0.0,-0.07000000000000028,7.14,-6.09,0.0,-1.8399999999999999
 AGASALHO INFANTIL,0.0,-5.870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.870000000000001
 VESTIDO INFANTIL,-4.19,-0.8300000000000001,6.83,-2.0100000000000002,0.0,1.5599999999999998,0.07999999999999996,2.33,3.49,0.0,-0.1200000000000001,1.8899999999999997,-3.49,1.1500000000000001,-1.74,2.3900000000000006,1.1400000000000001
 BERMUDA/SHORT INFANTIL,2.25,0.0,0.0,-1.56,2.7,0.0,0.5599999999999996,0.3400000000000003,4.51,0.0,0.0,-2.33,1.46,7.199999999999999,-0.4299999999999998,1.67,2.08
 CAMISA/CAMISETA INFANTIL,-1.07,1.48,1.1400000000000001,-1.9200000000000002,2.04,1.78,-0.3699999999999999,2.67,0.6000000000000003,-3.58,-2.89,3.0200000000000005,-1.0000000000000002,-0.2500000000000002,-4.47,-1.28,0.33999999999999986
 CONJUNTO INFANTIL,0.3999999999999999,4.18,2.48,-1.8799999999999997,0.5000000000000002,2.4299999999999997,0.54,4.050000000000001,7.24,1.52,2.21,-0.36,4.88,0.9099999999999999,-0.8300000000000001,3.1799999999999997,1.69
 CALÇADOS E ACESSÓRIOS,0.39,2.09,0.3,-2.62,2.0700000000000003,-1.43,0.15999999999999998,1.91,0.21999999999999997,-1.1,-0.45000000000000007,1.08,1.12,2.75,0.45,0.96,0.6800000000000002
 CALÇADOS E ACESSÓRIOS,0.39,2.09,0.3,-2.62,2.0700000000000003,-1.43,0.15999999999999998,1.91,0.21999999999999997,-1.1,-0.45000000000000007,1.08,1.12,2.75,0.45,0.96,0.6800000000000002
 SAPATO MASCULINO,2.93,3.6100000000000003,0.52,-3.72,2.0999999999999996,0.2400000000000001,1.68,0.2599999999999999,-1.02,-0.5099999999999998,-1.5799999999999998,1.1199999999999997,-5.67,2.6199999999999997,-1.24,-0.31000000000000005,0.71
