Variacoes - -OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,0.0,0.0,0.0,13.440000000000001,-1.1300000000000001,0.0,0.16000000000000014
 CAFÉ MOÍDO,-4.83,0.54,1.7299999999999998,-4.83,-0.40000000000000013,-4.03,-2.62,-1.6600000000000001,-2.85,-2.54,-3.9699999999999998,-9.16,-3.5300000000000002,-3.5700000000000003,-4.15,-0.06000000000000005,-1.83
 CAFÉ SOLÚVEL,0.0,-6.499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.499999999999999
 REFRIGERANTE E ÁGUA MINERAL,0.010000000000000009,-0.30000000000000004,2.74,-1.4300000000000002,-0.020000000000000073,-1.33,2.21,0.55,1.4100000000000004,2.61,2.7199999999999998,0.8399999999999999,1.19,-0.33000000000000007,1.9500000000000002,0.43,0.5700000000000001
 CERVEJA,1.72,-0.7600000000000001,1.9300000000000002,5.85,3.83,2.0700000000000003,-1.1400000000000001,1.6,4.6,2.54,2.5700000000000003,1.74,2.64,0.0,3.51,0.6800000000000002,2.43
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,-2.6200000000000006,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,-1.3399999999999999
 VINHO,-1.1400000000000001,1.7099999999999997,0.0,0.0,-1.48,0.0,0.0,0.0,0.0,0.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.47
 SUCO EM PÓ,0.0,-8.99,-0.7599999999999999,0.0,-0.09000000000000007,0.0,0.0,0.0,0.0,-1.6099999999999999,0.0,0.0,-0.8400000000000001,2.83,0.0,0.0,-1.73
 CHÁ MATE (ERVA MATE),0.0,-1.8199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.62,0.0,0.0,3.1100000000000003,0.0,0.0,0.0,-1.6199999999999997
 ENLATADOS E CONSERVAS,-2.59,-2.38,-0.020000000000000004,-2.95,1.29,-1.2699999999999998,-0.5900000000000001,0.52,-1.5699999999999998,0.8400000000000001,-0.45999999999999996,-3.51,-2.18,0.43000000000000016,-2.36,-1.7300000000000002,-0.41999999999999993
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
 PALMITO EM CONSERVA,0.0,0.0,2.76,0.0,1.31,-6.09,0.0,0.0,0.0,-0.06999999999999984,0.47,0.0,0.0,0.0,0.0,0.0,0.9099999999999999
 PEPINO EM CONSERVA,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75
 SARDINHA EM CONSERVA,-3.7699999999999996,-0.28,-0.2699999999999999,-4.85,-0.2800000000000001,-2.7600000000000002,-0.75,0.38,-4.9399999999999995,1.08,0.0,-2.88,-2.2800000000000002,-0.29999999999999993,-2.4,0.4899999999999999,-1.63
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,-1.0699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0699999999999998
 SOPA DESIDRATADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43000000000000016,0.0,0.0,2.72,0.0,0.0,0.0,0.78
 AZEITONA,-1.0699999999999998,-3.0699999999999994,-0.2699999999999999,-0.51,1.9499999999999997,-1.1500000000000001,0.0,-0.009999999999999992,-4.76,5.05,-0.59,-0.040000000000000036,0.8,2.78,0.0,0.0,0.6000000000000001
 MILHO-VERDE EM CONSERVA,-1.8800000000000001,-3.0,-0.6200000000000001,1.1,-0.7000000000000002,0.0,-0.11000000000000004,1.2,1.7799999999999998,-3.67,-1.4800000000000004,-7.67,-5.35,-0.65,-2.04,-6.46,-1.4999999999999998
 ATUM EM CONSERVA,-3.74,-1.7199999999999998,0.0,-2.25,3.59,3.2399999999999998,0.0,0.0,2.18,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.8199999999999998
 SAL E CONDIMENTOS,-5.63,-0.54,-0.9000000000000001,-3.05,2.3200000000000003,-2.0300000000000002,-1.71,-0.9000000000000001,-0.060000000000000164,0.02999999999999997,0.3,-6.1,-1.9700000000000002,0.48,-0.3899999999999999,-0.57,-0.4
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34999999999999987
 ATOMATADO,-0.47,0.17000000000000004,2.09,-6.0,1.94,-2.8800000000000003,0.020000000000000018,-0.30000000000000004,-0.36999999999999966,2.51,-0.36999999999999994,-0.7899999999999999,-1.2200000000000002,0.5299999999999998,0.97,0.79,0.7
